Heart Rate: xxx, Respiratory Rate: xx, Timestamp: xx:xx xx/xx/xx
Heart Rate: xxx, Respiratory Rate: xx, Timestamp: xx:xx xx/xx/xx
Heart Rate: xxx, Respiratory Rate: xx, Timestamp: xx:xx xx/xx/xx
Heart Rate: xxx, Respiratory Rate: xx, Timestamp: xx:xx xx/xx/xx
Heart Rate: xxx, Respiratory Rate: xx, Timestamp: xx:xx xx/xx/xx
Heart Rate: xxx, Respiratory Rate: xx, Timestamp: xx:xx xx/xx/xx
Heart Rate: xxx, Respiratory Rate: xx, Timestamp: xx:xx xx/xx/xx
Heart Rate: xxx, Respiratory Rate: xx, Timestamp: xx:xx xx/xx/xx
Heart Rate: xxx, Respiratory Rate: xx, Timestamp: xx:xx xx/xx/xx
Heart Rate: xxx, Respiratory Rate: xx, Timestamp: xx:xx xx/xx/xx
Heart Rate: xxx, Respiratory Rate: xx, Timestamp: xx:xx xx/xx/xx
Heart Rate: xxx, Respiratory Rate: xx, Timestamp: xx:xx xx/xx/xx
